URL,Final URL,Redirected,Status,Template,Blocks,Integrations,Complexity,Migration Method
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmanagement-productivity%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmanagement-productivity%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmarketing-strategies%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmarketing-strategies%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fpatient-experience%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fpatient-experience%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fsustainable-dentistry%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fsustainable-dentistry%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/courses.html,https://www.dentsplysirona.com/en/academy/product-training/courses.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html,https://www.dentsplysirona.com/en/academy/product-training/videos.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Brands%3Dbrands%253Aprimescan%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Brands%3Dbrands%253Aprimescan%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fcad-cam%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fcad-cam%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fcloud-services%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fcloud-services%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-chairs%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-chairs%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
